parameter,distribution_or_value,source_or_anchor,prior_reason,stress_test_role,used_in
c-Si learning rate,Normal mean 0.18 and SD 0.04; clipped to 0.08-0.45,2015-2024 PV price backcast plus ITRPV and BNEF cost history,Mature incumbent still has residual cost decline and manufacturing uncertainty,Tests whether silicon cost decline delays perovskite substitution,Main Fig 4 MC
perovskite learning rate,Normal mean 0.27 and SD 0.04; clipped to 0.08-0.45,Scenario prior because bankable perovskite deployment history does not yet exist,Allows faster early learning without assuming guaranteed commercial dominance,Tests whether high learning can overcome the lifetime gate,Main Fig 4 MC
tandem learning rate,Normal mean 0.30 and SD 0.04; clipped to 0.08-0.45,NREL tandem TEA baseline plus emerging PV learning envelope,Represents immature two-terminal tandem manufacturing uncertainty,Tests whether area efficiency can compensate for higher capex,Main Fig 4 MC
c-Si capex floor,Uniform 0.35-0.45 USD per W,Observed 2024 module price floor and long-run system floor envelope,Prevents mature silicon from declining without a physical and supply-chain floor,Sets the incumbent cost threshold,Main Fig 4 MC
perovskite capex floor,Uniform 0.32-0.45 USD per W,Scenario process floor; no bankable market price series exists,Allows low-cost manufacturing while retaining parity and underperformance cases,Separates cost-led substitution from yield-led substitution,Main Fig 4 MC
tandem capex floor,Uniform 0.42-0.58 USD per W,NREL Cordell 2025 tandem TEA and floor uncertainty,Retains higher process complexity for tandem manufacturing,Tests whether tandem remains area-driven rather than yield-driven,Main Fig 4 MC
perovskite breakthrough year,Discrete uniform integer years 2028-2042,Durability-transition scenario bracket,Does not assume that bankable lifetime arrives on a fixed schedule,Controls whether substitution starts early or remains blocked,Main Fig 4 MC
post-breakthrough perovskite lifetime,Uniform 18-25 years,Scenario range from partial bankability to full silicon-like lifetime,Keeps incomplete lifetime improvement visible in the economics,Controls never-substitute tail risk,Main Fig 4 MC
softmax allocation temperature,Normal mean 0.45 and SD 0.23; clipped to 0.15-2.0 cents per kWh,2015-2023 multi-to-mono calibration expanded threefold,Avoids overconfident winner-take-all adoption from a short historical analogue,Controls coexistence and inertia in new-build share allocation,Main Fig 4 MC
number of draws,1000 draws with random seed 42,Reproducibility setting,Keeps uncertainty summaries deterministic across reruns,Defines Monte Carlo precision,Main Fig 4 MC
