label_id,text
accelerated_degradation,加速衰减
actual_fault,真实故障
anhui,安徽
beats,超
beijing,北京
build_city_catalog_text,自治州
build_city_catalog_text_2,地区
build_city_catalog_text_3,盟
changchun,长春
changsha,长沙
chengdu,成都
chongqing,重庆
cities_text,高原·强辐照冷凉
cities_text_10,高原·四季如春
cities_text_11,南方·全年高温
cities_text_12,热带·全年最热
cities_text_2,西北·大陆性
cities_text_3,西北戈壁·辐照强
cities_text_4,宁夏·干燥多晴
cities_text_5,东北·高纬寒冷
cities_text_6,华北·四季分明
cities_text_7,盆地·多云寡照
cities_text_8,华中·夏季湿热
cities_text_9,东部·湿热夏季
cold_high_irradiance,冷高辐照
confidence,置信
correct,判对
degradation_text,乐观(改进封装)
degradation_text_2,代表性
degradation_text_3,悲观(早期器件)
detection_delay_in_days,发现延迟天
diagnosis,判定
diagnostics_text,组串/硬件故障
diagnostics_text_2,逆变器限幅/异常
diagnostics_text_3,低
diagnostics_text_4,中
diagnostics_text_5,高
diagnostics_text_6,估计损失%
dunhuang,敦煌
fujian,福建
fuzhou,福州
gansu,甘肃
guangdong,广东
guangxi,广西
guangzhou,广州
guiyang,贵阳
guizhou,贵州
haerbin,哈尔滨
haikou,海口
hainan,海南
hangzhou,杭州
hebei,河北
hefei,合肥
heilongjiang,黑龙江
henan,河南
hohhot,呼和浩特
hot_high_irradiance,热高辐照
hubei,湖北
hunan,湖南
jiangsu,江苏
jiangxi,江西
jilin,吉林
jinan,济南
kunming,昆明
lhasa,拉萨
liaoning,辽宁
low_irradiance,弱光
materials_text,"早期量产晶硅, 组件效率~15.6%, 稳定但温度敏感、无弱光优势。"
metric,指标
modern_topcon_perc_c_si_approximately_22_module_efficiency_and_ga,"现代 TOPCon/PERC 晶硅, 组件效率~22%, γ~-0.32; 现实基准。"
nanchang,南昌
nanjing,南京
nanning,南宁
nei_mongol,内蒙古
ningxia,宁夏
no_evident_fault,无明显故障
none,无
operating_condition,工况
partial_shading,局部遮挡
perovskite_c_si_2t_tandem_approximately_28_efficiency_explicit_to,"钙钛矿/晶硅 2T 叠层, 效率~28%; 光谱层显式计算顶/底子电池电流匹配."
perovskite_csi_crossover,钙钛矿超晶硅
perovskite_top_cell,钙钛矿顶电池
policy_data_text,晶硅25y
policy_data_text_2,钙钛矿15y
policy_data_text_3,钙钛矿25y
portfolio_physics_text,% vs 晶硅)
provinces_text,华北
provinces_text_2,东北
provinces_text_3,华中
provinces_text_4,华东
provinces_text_5,华南
provinces_text_6,西南
provinces_text_7,西部
provinces_text_8,西北
qinghai,青海
shaanxi,陕西
shandong,山东
shanghai,上海
shanxi,山西
shenyang,沈阳
shijiazhuang,石家庄
sichuan,四川
silicon_bottom_cell,晶硅底电池
single_junction_csi,单结晶硅
single_junction_perovskite_approximately_20_efficiency_favorable_,"单结钙钛矿, 效率~20%, 温度/弱光优势明显, 但衰减快、寿命短、有迟滞。"
soiling,积灰
spectral_text,正午(高太阳)
spectral_text_2,上午/下午
spectral_text_3,清晨/傍晚(低太阳)
taiyuan,太原
tandem_csi_crossover,叠层超晶硅
tandem_text,单结钙钛矿
tech_csi,晶硅
tech_early_csi,早期晶硅
tech_modern_csi,现代晶硅
tech_perovskite,钙钛矿
tech_tandem,叠层
tianjin,天津
tibet,西藏
urumqi,乌鲁木齐
validate_against_pvlib_text,偏差 %
viz_text,钙钛矿/晶硅叠层
wuhan,武汉
xi_an,西安
xining,西宁
xinjiang,新疆
yinchuan,银川
yunnan,云南
zhejiang,浙江
zhengzhou,郑州
